title,domain
"Kansas City Chiefs barber tests COVID-19 positive ahead of Super Bowl: ESPN 
| TheHill",thehill.com
U.S. Cuts $231 Million Deal To Provide 15-Minute COVID-19 At-Home Tests,www.npr.org
"Chiefs' Daniel Kilgore releases photo of unfinished haircut due to barber 
testing positive for COVID-19",www.foxnews.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Adults aged 20 to 49 are biggest COVID-19 spreaders in US, study says",nypost.com
Tanzania Shunned Lockdowns. Now It’s Rejecting Covid-19 Vaccines.,www.wsj.com
"BD secures European approval for COVID-19 blood test to predict which 
patients may need a ventilator",www.fiercebiotech.com
"California coronavirus: Latino COVID-19 deaths in LA County up 1,000% since 
November, official says",abc7ny.com
"Missouri lawmaker indicted for allegedly selling fake stem cell treatments 
for Covid-19",www.nbcnews.com
Herd Immunity For COVID-19 Won't Be Easy To Reach : Shots - Health News,www.npr.org
"COVID-19 reality clashes with Super Bowl in Tampa area: 'It's really awful 
every day'",www.usatoday.com
The shadow vessel concept that keeps superyachts free from Covid-19,www.cnn.com
Some hopeful trends in Massachusetts COVID-19 statistics,www.wwlp.com
"70% to 85% of Americans need to be fully vaccinated for a return to normal, 
Fauci says. So far it's less than 2%",www.cnn.com
Dr. Fauci on what is needed for society to 'get back to normal',www.cnn.com
Fauci warns against Super Bowl parties to avoid virus spread,apnews.com
Fauci warns against attending Super Bowl parties | TheHill,thehill.com
Dr. Fauci on what is needed for society to 'get back to normal',www.kcci.com
"Ingraham accuses Fauci, Gates of being 'apparently fine with a forever 
pandemic'",www.foxnews.com
Fauci Says CDC May Recommend Wearing Two Masks to Fight Virus,www.bloomberg.com
Dr. Fauci urges Americans to avoid large Super Bowl parties,profootballtalk.nbcsports.com
"Fauci urges COVID vaccinations to stop new strains: 'Viruses cannot mutate 
if they don't replicate'",news.yahoo.com
The Latest: Fauci: Watch Super Bowl at home with household,apnews.com
"'COVID tongue': Mouth ulcers or rashes likely a coronavirus symptom, says 
expert",www.euronews.com
"COVID tongue rash, mouth ulcers may be coronavirus symptoms - Business 
Insider",www.businessinsider.com
"Common COVID-19 symptom doesn’t show from UK variant, survey says",www.deseret.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Coronavirus Vaccines, Variants and World News: Live Updates",www.nytimes.com
"The governor of the state second-hardest hit by the coronavirus probably 
shouldn’t be bragging about it",www.washingtonpost.com
"Albany County coronavirus update, February 3",www.news10.com
"Dissatisfaction with coronavirus response on the rise in US, Germany, poll 
finds",www.politico.eu
"NY Restaurant Workers, Taxi Drivers Could Get Coronavirus Vaccine",patch.com
"Live updates: AstraZeneca vaccine shows strong effect against coronavirus 
with just one dose",www.washingtonpost.com
Why Are So Many Health-Care Workers Resisting the Coronavirus Vaccine?,www.newyorker.com
"Comparing Death Tolls From COVID-19 To Past Wars Is Fraught : Shots - 
Health News",www.npr.org
"Russia approved its coronavirus vaccine first, tested it after - Business 
Insider",www.businessinsider.com
Covid-19 News: Live Updates,www.nytimes.com
"US pharmacies could administer up to 100 million doses of Covid-19 vaccine 
a month. Here's how",www.cnn.com
"School officials explain how board members got COVID-19 vaccine against 
Ohio Dept. of Health guidelines",www.wkbn.com
U.S. FDA gearing up for rapid review of potential COVID-19 booster shots,www.reuters.com
Chesapeake woman targeted in COVID-19 vaccine scam,www.wavy.com
"Double Face Masks? N95? Protect Yourself Against New Covid-19 Variants With 
These Mask Upgrades",www.wsj.com
J&J asks US regulators to OK its one-shot COVID-19 vaccine,apnews.com
"Plant-based antiviral drug may help beat COVID-19, research shows",www.foxnews.com
"Johnson & Johnson submits single-dose COVID-19 vaccine candidate to FDA for 
emergency use authorization",www.foxbusiness.com
"RI easing COVID-19 restrictions on indoor dining, gyms; pharmacies to begin 
distributing vaccine",www.wpri.com
Dr. Fauci On Vaccinations And Biden's 'Refreshing' Approach To COVID-19,www.npr.org
"Dr. Anthony Fauci warns against Super Bowl parties to avoid coronavirus 
spread",www.espn.com
"Dr. Fauci says it's important to wear a mask even after getting the Covid 
vaccine. Here's why",www.cnbc.com
"Video Wrong About Fauci, COVID-19",www.factcheck.org
"First lady Jill Biden, Dr. Anthony Fauci host town hall on COVID-19 vaccine 
for skeptical military families",www.usatoday.com
Dr. Fauci reveals he often double masks,www.cnn.com
"Fauci on COVID vaccine: 'No red flags' from 10,000 pregnant women - 
Business Insider",www.businessinsider.com
No-fun Fauci steals Charlie Baker’s Super Bowl thunder,www.bostonherald.com
Fauci warns against Super Bowl parties to avoid virus spread,abcnews.go.com
"U.S. might send masks to every American; no cruising to Canada until 2022; 
young adults drive infections: Live COVID-19 news",www.usatoday.com
"Family of 4 says they contracted COVID-19 for 2nd time, symptoms worse",www.nbc12.com
"LGBTQ Americans at heightened risk for severe coronavirus symptoms, CDC says",www.axios.com
"CDC: LGBT community at greater risk to experience severe COVID-19 symptoms 
| TheHill",thehill.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
Covid-19 News: Live Updates,www.nytimes.com
Florida school children could repeat a year amid coronavirus pandemic,www.foxnews.com
"Ohio Couple Married 52 Years Die of Coronavirus Just 3 Hours Apart in Same 
Hospital Room",people.com
"Wisconsin governor clashes with lawmakers over statewide mask mandate to 
curb coronavirus",www.reuters.com
"Coronavirus live updates: FDA will propose guidelines to deal with new 
variants",www.washingtonpost.com
"LGBTQ Americans at heightened risk for severe coronavirus symptoms, CDC says",www.axios.com
"RI easing COVID-19 restrictions on indoor dining, gyms; pharmacies to begin 
distributing vaccine",www.wpri.com
"Live: Coronavirus daily news updates, February 4: What to know today about 
COVID-19 in the Seattle area ...",www.seattletimes.com
"Charlie Baker increases capacity limits at Massachusetts restaurants, 
businesses as state’s coronavirus metrics improve",www.bostonherald.com
U.S. Cuts $231 Million Deal To Provide 15-Minute COVID-19 At-Home Tests,www.npr.org
"A fast, at-home coronavirus test will be available to Americans this year",www.washingtonpost.com
"Home COVID-19 test kits widely available, including NC-based LabCorp's 
'Pixel'",www.wral.com
Covid-19 News Tracker: Live Updates,www.nytimes.com
How COVID-19 Ended Flu Season Before It Started,fivethirtyeight.com
Live Stream: Gov. Whitmer provides update on COVID-19 in Michigan,www.clickondetroit.com
DC COVID-19 vaccine appointments continue to fill up quickly,www.fox5dc.com
"Side effect of COVID-19 vaccine mirrors breast cancer symptom, doctors say",www.keloland.com
"Danish scientists see tough times ahead as they watch more contagious 
COVID-19 virus surge",www.sciencemag.org
"Reasons for cautious optimism amid Covid-19 crisis: 'The news about the 
future' is really promising",www.cnn.com
New Covid-19 trial tests mixing two different vaccines for first time,www.nbcnews.com
Digital Race For COVID-19 Vaccines Leaves Many Seniors Behind,www.npr.org
"Some CVS locations in Maryland, Virginia to offer COVID-19 vaccine",wtop.com
"CDC says schools can reopen even if teachers aren't vaccinated; Dr. Anthony 
Fauci warns against Super Bowl parties: Latest COVID-19 updates",news.yahoo.com
‘Just lay low and cool it’: Fauci warns against Super Bowl parties,www.independent.co.uk
Dr. Fauci reveals he often double masks,www.cnn.com
"Video Wrong About Fauci, COVID-19",www.factcheck.org
"Fauci on COVID vaccine: 'No red flags' from 10,000 pregnant women - 
Business Insider",www.businessinsider.com
"Dr. Anthony Fauci warns against Super Bowl parties to avoid coronavirus 
spread",www.espn.com
Regarding Fauci and Birx,www.washingtonpost.com
"Fauci says he hopes he gets another chance to throw out Nationals first 
pitch after 'embarrassing' first try | TheHill",thehill.com
"CDC is Studying Whether Two Masks Are Better Than One for Preventing 
Coronavirus Spread",www.usnews.com
Dr. Fauci on what is needed for society to 'get back to normal',www.cnn.com
10 Unusual Symptoms of COVID-19,health.clevelandclinic.org
"'COVID tongue': Mouth ulcers or rashes likely a coronavirus symptom, says 
expert",www.euronews.com
"Post-COVID care clinic at Albany Med specializes in treating patients with 
lingering symptoms",www.news10.com
Coronavirus in the U.S.: Latest Map and Case Count,www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Coronavirus daily news updates, February 4: What to know today about 
COVID-19 in the Seattle area, Washington state and the world",www.seattletimes.com
"Easing Coronavirus Restrictions as the Race to Vaccinate Heats Up: The 
Lineup",www.nbcphiladelphia.com
Gov. Whitmer to hold coronavirus briefing this afternoon,www.woodtv.com
"Live updates: U.S. infection rates are dropping; global vaccine trust is on 
the rise, survey says",www.washingtonpost.com
Covid-19 News Tracker: Live Updates,www.nytimes.com
Biden's grand plan,www.axios.com
"Coronavirus update: US hits 1M shots per day average as scientists eye 
second generation COVID-19 vaccines",finance.yahoo.com
"Senate braces for chaotic session as Democrats pursue coronavirus bill | 
TheHill",thehill.com
"Kansas City Chiefs barber tests COVID-19 positive ahead of Super Bowl: ESPN 
| TheHill",thehill.com
"Coronavirus positive test rates are declining in the Bay Area. Here’s what 
that means",www.sfchronicle.com
"US's dismal coronavirus genetic sequencing weakened pandemic response - 
Business Insider",www.businessinsider.com
Covid-19 News: Live Updates,www.nytimes.com
"1,000+ troops to help vaccine distribution; at-home test surge coming; 
Johnson & Johnson applies for authorization. Latest COVID-19 updates.",www.usatoday.com
"Kevin Durant pulled from Nets game amid COVID-19 concerns to end strange 
night",nypost.com
New Zealand investigates new COVID-19 case linked to quarantine facility,www.reuters.com
Session Lessons: Making margaritas to-go legal post COVID-19 pandemic,www.wfaa.com
"Biden Doesn't Think $15 Federal Minimum Wage Hike Will Survive COVID-19 
Relief Bill",www.npr.org
"NY opening up COVID-19 vaccination eligibility to people with serious 
health conditions",wnyt.com
Ocugen: There’s a New Potential Covid-19 Vaccine at the Gate,finance.yahoo.com
"Kids and COVID-19: Texas boy, 9, dies 1 day after testing positive",www.today.com
"Hackers intercepted a Covid-19 vaccination appointment hotline in 
Pennsylvania",www.cnn.com
Dr. Fauci On Vaccinations And Biden's 'Refreshing' Approach To COVID-19,www.npr.org
"Fauci on COVID vaccine: 'No red flags' from 10,000 pregnant women - 
Business Insider",www.businessinsider.com
"Fauci: Children can go back to school 'without necessarily having everyone 
vaccinated'",www.foxnews.com
"Family of 4 says they contracted COVID-19 for 2nd time, symptoms worse",www.nbc12.com
"Health providers ‘learning as we go’ in care of COVID patients whose 
symptoms linger in recovery",www.masslive.com
"Study: Peak viral load in COVID-19 occurs close to symptom onset, load 
predicts mortality",fox17.com
Covid-19 News: Live Updates,www.nytimes.com
Live updates: U.S. military to help states with coronavirus vaccine sites,www.washingtonpost.com
Coronavirus forces Texas-based Luby’s restaurant chain to liquidate,www.foxbusiness.com
"Officials warn highly contagious U.K. coronavirus variant is spreading in 
Big Bear",ktla.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"US coronavirus deaths surpass 450,000",www.foxnews.com
House clears way for massive coronavirus stimulus plan,www.politico.com
"CDC Guidance Coming Next Week On Schools Reopening, Vaccines for Teachers : 
Coronavirus Updates",www.npr.org
"Biden wants fast COVID aid, but minimum wage hike in doubt",apnews.com
"Virginia woman dies shortly after Covid vaccination, though no link has 
been found",www.nbcnews.com
White House Is Lining Up 6 More Contracts To Boost At-Home Coronavirus Tests,www.npr.org
Dunkin Donuts Center Coronavirus Test Site Closing For Vaccines,patch.com
Chiefs barber pulled mid-haircut after positive coronavirus test,www.fox5ny.com
Covid-19 News: Live Updates,www.nytimes.com
"If you've had Covid-19, here's what you should know about vaccines, 
variants and more",www.cnn.com
Spike Lee chats up COVID-19 vaccine seekers at Yankee Stadium,nypost.com
"As demand for COVID-19 vaccine increases, RI to start getting more doses 
per week",www.wpri.com
"AstraZeneca vaccine 75 percent effective against highly contagious COVID-19 
variant | TheHill",thehill.com
"Senate passes key procedural step to allow Democrats to pass Covid-19 
relief without threat of GOP filibuster",www.cnn.com
DPH: 15 western Massachusetts communities at high-risk for COVID-19,www.wwlp.com
"White House Looks Outside Washington For Republicans Who Back COVID-19 Aid 
Plan",www.npr.org
"EXCLUSIVE-Pfizer withdraws application for emergency use of its COVID-19 
vaccine in India",www.reuters.com
"Johnson & Johnson requests emergency authorization from FDA for Covid 
vaccine",www.cnbc.com
Dr. Fauci On Vaccinations And Biden's 'Refreshing' Approach To COVID-19,www.npr.org
No-fun Fauci steals Charlie Baker’s Super Bowl thunder,www.bostonherald.com
"Fauci explains why you should keep wearing a face mask after receiving a 
COVID-19 shot - Business Insider",www.businessinsider.com
"Side effect of COVID-19 vaccine mirrors breast cancer symptom, doctors say",fox2now.com
"Family of 4 says they contracted COVID-19 for 2nd time, symptoms worse",www.nbc12.com
"TV: Several vaccinated elderly tested positive for COVID, but had no 
symptoms",www.timesofisrael.com
Covid-19 News: Live Updates,www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Coronavirus live news: Israel to ease lockdown; Von der Leyen compares UK 
vaccine 'speedboat' to EU 'tanker'",www.theguardian.com
Alcohol-related deaths hit record high in UK amid coronavirus | TheHill,thehill.com
"Senate adopts budget resolution for coronavirus relief after Republicans 
squeeze Dems in marathon vote-a-rama",www.foxnews.com
"Live updates: U.S. coronavirus deaths top 454,000 ahead of Super Bowl; 
Senate paves way for relief measures",www.washingtonpost.com
"Daily coronavirus updates: Connecticut reports lowest single-day positivity 
rate since Halloween; Gov. Ned Lamont directs $40M in aid toward hospitals",www.courant.com
"Couple Married 52 Years Die of Coronavirus Just 3 Hours Apart After Sending 
Each Other Hospital Love Notes",people.com
"LGBTQ Americans at heightened risk for severe coronavirus symptoms, CDC says",www.axios.com
How can I get a coronavirus shot? Here are 5 vaccination questions answered,www.cnbc.com
"Coronavirus variant on track to become dominant in California and Florida 
hot spots, testing company says",www.mercurynews.com
COVID-19 testing has become a “cash cow” for freestanding ERs in Texas,www.texastribune.org
Virus outbreaks stoke tensions in some state capitols,abcnews.go.com
"Coronavirus Vaccines, Cases and Variants: Covid-19 Latest News",www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Saliva testing at University of Tennessee shows a COVID-19 positivity rate 
less than 1%",www.knoxnews.com
"Decisions surrounding COVID-19 vaccine distribution addressed at workgroup 
meeting",www.wbaltv.com
UK variant of COVID-19 now found in 21 Washtenaw County cases,www.fox2detroit.com
Biden immigration orders raise COVID-19 concerns at the border,www.foxnews.com
"Missouri lawmaker indicted for allegedly selling fake stem cell treatments 
for Covid-19",www.nbcnews.com
"CVS Health to start in-store COVID-19 vaccinations in RI, Mass. next week",www.wpri.com
"Biden calls Democrats, urges big COVID-19 relief bill | TheHill",thehill.com
"Better Business Bureau urges people to avoid sharing COVID-19 vaccination 
card on social media",www.foxbusiness.com
How Anthony Fauci beat Donald Trump in 2020,www.cnn.com
Fauci says CDC may recommend double-masking,nypost.com
Fauci: Coronavirus variant more likely to cause reinfections,www.abc15.com
"Fauci urges COVID vaccinations to stop new strains: 'Viruses cannot mutate 
if they don't replicate'",news.yahoo.com
Fauci Says CDC May Recommend Wearing Two Masks to Fight Virus,www.bloomberg.com
Regarding Fauci and Birx,www.washingtonpost.com
"Daily Covid-19 vaccinations are far outpacing daily reported cases. But 
there's a catch",www.cnn.com
Fauci expects COVID-19 vaccine rollout to improve in weeks,wtop.com
"Dr. Fauci Says South Africa COVID Variant Can Re-Infect People Who Have 
Recovered",www.newsweek.com
Fauci says COVID-19 vaccine boosters will tackle one mutation at a time,www.seattletimes.com
10 Unusual Symptoms of COVID-19,health.clevelandclinic.org
"'COVID tongue': Mouth ulcers or rashes likely a coronavirus symptom, says 
expert",www.euronews.com
"Coronavirus vaccines, antivirals and symptoms.",slate.com
UK finds more coronavirus cases with 'concerning' mutations,www.bbc.com
"Coronavirus Vaccines, Cases and Variants: Covid-19 Latest News",www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
NYC Mayoral Candidate Andrew Yang Tests Positive for Coronavirus,people.com
Coronavirus World Map: Tracking the Global Outbreak,www.nytimes.com
"DC-area carjackings rise due to lifestyle changes precipitated by 
coronavirus",wtop.com
"Live updates: U.S. to start distributing coronavirus vaccines directly to 
pharmacies",www.washingtonpost.com
Coronavirus is in the air — there's too much focus on surfaces,www.nature.com
"The experts are sounding warnings about coronavirus variants. Here’s what 
you need to know.",www.bostonglobe.com
"Coronavirus daily news updates, February 2: What to know today about 
COVID-19 in the Seattle area, Washington state and the world",www.seattletimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Live Global Covid-19 News Updates: Vaccines, Variants, Cases and More",www.nytimes.com
"Another 23 deaths, 417 cases of COVID-19 reported in Maine",www.pressherald.com
UK tests house-to-house in hunt for new COVID-19 variant,www.clickondetroit.com
"COVID-19 Update: Plainview/Hale Co. Health Dept. reports 11 new cases, 1 
additional death",www.everythinglubbock.com
Why Did COVID-19 Cases Dramatically Decline In India? : Goats and Soda,www.npr.org
news Two Chiefs players clipped by barber's positive COVID-19 test,www.nfl.com
"Russian Covid-19 Vaccine Was Highly Effective in Trial, Study Finds, 
Boosting Moscow’s Rollout Ambitions",www.wsj.com
"Super Bowl 2021: A barber's positive COVID-19 test led to two Chiefs going 
on reserve/COVID list, per report",www.cbssports.com
The Second COVID-19 Shot Is a Rude Reawakening for Immune Cells,www.theatlantic.com
Fauci: US Covid-19 vaccine distribution will 'get better very quickly',www.cnn.com
"Fact Check: Did Dr. Anthony Fauci Advise Wearing Two Masks Then Reverse 
Course?",www.newsweek.com
"Dr. Fauci Says South Africa COVID Variant Can Re-Infect People Who Have 
Recovered",www.newsweek.com
"Those who had Covid-19 could get reinfected if the variants become 
dominant, Fauci says",www.cnn.com
"Fauci urges COVID vaccinations to stop new strains: 'Viruses cannot mutate 
if they don't replicate'",news.yahoo.com
Regarding Fauci and Birx,www.washingtonpost.com
"Fauci says reopening all schools by April might not be possible amid 
concerns over new coronavirus variants",ktla.com
"Dr. Anthony Fauci Documentary In Works At Nat Geo From Oscar And Emmy 
Winners; Watch First Trailer",deadline.com
Fauci: US COVID-19 vaccine distribution will 'get better very quickly',www.wktv.com
"Federal health officials discuss progress on vaccines, announce new at-home 
COVID-19 test",www.cbsnews.com
10 Unusual Symptoms of COVID-19,health.clevelandclinic.org
Common COVID-19 Symptom Not Prevalent in Patients With U.K. Variant,www.nbcdfw.com
"These are the UK's three official COVID symptoms - and how they differ from 
the WHO's",sports.yahoo.com
"One Coronavirus Case, Total Lockdown: Australia’s Lessons for the World",www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Live updates: Russian vaccine over 91% effective against coronavirus, 
peer-reviewed test results show",www.washingtonpost.com
"King William Fair, parade canceled for 2021 due to coronavirus concerns",www.ksat.com
"Do COVID vaccines stop coronavirus from spreading or just make you less 
sick?",fortune.com
"Factbox: Worldwide coronavirus cases cross 103.44 million, death toll at 
2,236,895",news.yahoo.com
What’s behind the dip in coronavirus cases? We ask specialists,www.bostonglobe.com
"House starts work on coronavirus relief Tuesday after Psaki warns Biden 
won't 'slow down' for Republicans",www.foxnews.com
U.S. Cuts $231 Million Deal To Provide 15-Minute COVID-19 At-Home Tests,www.npr.org
"Those who had Covid-19 could get reinfected if the variants become 
dominant, Fauci says",www.cnn.com
"Live updates: Russian vaccine over 91% effective against coronavirus, 
peer-reviewed test results show",www.washingtonpost.com
U.S. Cuts $231 Million Deal To Provide 15-Minute COVID-19 At-Home Tests,www.npr.org
Barber giving Chiefs players haircuts tests positive for coronavirus,www.nydailynews.com
Covid-19 News: Live Updates,www.nytimes.com
4th grade girl dies 3 days after positive COVID-19 test,www.today.com
Georgia airline pilot shares story of 2-month battle with COVID-19,www.foxnews.com
Pitt Basketball Game Vs. Louisville Postponed Due To COVID-19-Related Issues,pittsburgh.cbslocal.com
New walk-up COVID-19 testing in Duval County,www.actionnewsjax.com
"Engelbert Humperdinck's wife, Patricia Healey, 85, dies after contracting 
COVID-19",www.usatoday.com
"The Covid-19 news is bad, but there's room for optimism",www.cnn.com
"State remains at risk for COVID-19, despite downturn in cases",www.bostonglobe.com
"In this U.S. county, there are zero covid-19 cases. I felt safe.",www.washingtonpost.com
"As Covid-19 Vaccines Raise Hope, Cold Reality Dawns That Illness Is Likely 
Here to Stay",www.wsj.com
"Fauci looking ahead to more vaccines in March, April",www.politico.com
Fauci says the US should prioritize second vaccine doses - Business Insider,www.businessinsider.com
"Fauci says U.S. vaccinations to increase in spring as Biden administration 
nears doses goal",www.washingtonpost.com
New COVID-19 symptom: ‘COVID tongue’ is the newest issue,www.deseret.com
"Study: Peak viral load in COVID-19 occurs close to symptom onset, load 
predicts mortality",fox17.com
"Most COVID Patients Felt This Symptom First, Says Study",www.yahoo.com
Covid-19 News: Live Updates,www.nytimes.com
"U.K. coronavirus variant spreading rapidly through United States, study 
finds",www.washingtonpost.com
Puppy Bowl Returns With Coronavirus Protocols In Place - 9 & 10 News,www.9and10news.com
Coronavirus cases and deaths decline statewide | Coronavirus,www.thesunchronicle.com
"COVID-19 has slowed MATA, but essential workers are showing why it's 
essential too | Weathersbee",www.commercialappeal.com
Another California Democrat is accused of breaking coronavirus orders,www.foxnews.com
"Covid-19 numbers are improving, but infections could grow exponentially 
with Super Bowl gatherings",www.cnn.com
"Covid reinfections may be more common than realized. Why isn't the U.S. 
tracking them?",www.nbcnews.com
"Coronavirus daily news updates, February 7: What to know today about 
COVID-19 in the Seattle area, Washington state and the world",www.seattletimes.com
Biden's vaccine ad campaign hits roadblock: Not enough doses,www.politico.com
White House Is Lining Up 6 More Contracts To Boost At-Home Coronavirus Tests,www.npr.org
"As U.S. Vaccinations Ramp Up, Some Recipients Struggle to Secure a Second 
Dose",www.nytimes.com
"Latest coronavirus test results in DC, Maryland and Virginia",wtop.com
"Covid-19 Live Updates: As U.S. Vaccinations Ramp Up, Some Recipients 
Struggle to Secure a Second Dose",www.nytimes.com
"The Covid-19 news is bad, but there's room for optimism",www.cnn.com
"Boat with 422 migrants, some with COVID-19, heads to Sicily",www.wivb.com
"For a rural family, COVID-19 felt like a distant threat. Until it 
devastated them",www.latimes.com
"US Covid-19 numbers are trending in the right direction but officials warn 
against Super Bowl gatherings that could fuel spread",www.cnn.com
"Pfizer expects to cut COVID-19 vaccine production time by close to 50% as 
production ramps up, efficiencies increase",www.usatoday.com
"Officer fired for physically harassing a co-worker, mocking her fear of 
covid-19, police say",www.washingtonpost.com
Israel Won't Reach Covid-19 Immunity Even If All Adults Jabbed,www.bloomberg.com
New COVID-19 symptom: ‘COVID tongue’ is the newest issue,www.deseret.com
Covid-19 Worldwide Pandemic Could Last Seven More Years – Bloomberg Report,deadline.com
"Should you eat inside a restaurant? Only if you do this, Dr. Fauci says",www.deseret.com
Fauci cautions Super Bowl viewers on 'mini super spreader events',www.politico.com
"Kate McKinnon's Dr. Fauci Has A Warning For 'Super Bowl Pod' Cheaters On 
'SNL'",www.huffpost.com
Full Fauci Interview: Vaccine shortages 'a supply-demand issue',www.nbcnews.com
Dr. Fauci On Vaccinations And Biden's 'Refreshing' Approach To COVID-19,www.npr.org
How will the 'Anthony Fauci effect' influence jurors?,www.abajournal.com
Fauci weighs in on possibility of COVID-19 vaccines becoming seasonal shot,www.thedenverchannel.com
Alarm: Dr. Fauci on new 2021 Covid-19 strains that could be worse than 2020,www.msnbc.com
Dr. Fauci: One Year Into The Pandemic,www.latinousa.org
"Fauci: Children can go back to school 'without necessarily having everyone 
vaccinated'",www.foxnews.com
New COVID-19 symptom: ‘COVID tongue’ is the newest issue,www.deseret.com
Unusual COVID-19 symptoms being reported,www.kxnet.com
"LGBTQ Americans at heightened risk for severe coronavirus symptoms, CDC says",www.axios.com
Coronavirus in the U.S.: Latest Map and Case Count,www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Democrats can pass the coronavirus relief package: Transportation Secretary 
Pete Buttigieg",abcnews.go.com
"A new children's book about Wuhan's coronavirus whistleblower teaches 
bravery",www.cnn.com
"Chuck Todd on coronavirus relief, state of GOP after Trump",www.today.com
"Iowa governor lifts mask requirements, other coronavirus restrictions",www.foxnews.com
"Covid reinfections may be more common than realized. Why isn't the US 
tracking them?",www.nbcnews.com
Dear Dr. Li: Chinese Netizens Confess To The Late Coronavirus Whistleblower,www.npr.org
PSA: Don’t post your coronavirus vaccination card selfie on social media,www.theverge.com
"Planning a night out to watch the Super Bowl? Massachusetts coronavirus 
rules might lead to a quick exit",www.bostonherald.com
Travel during covid-19: What if you test positive abroad?,www.washingtonpost.com
White House Is Lining Up 6 More Contracts To Boost At-Home Coronavirus Tests,www.npr.org
"In Covid-Era Travel Scam, Fraudsters Offer Fake Test Results",www.wsj.com
Covid-19 News: Live Updates,www.nytimes.com
The latest on the coronavirus pandemic and vaccines: Live updates,www.cnn.com
"Health officials concerned after maskless Super Bowl celebrations; Florida 
reaches 200 variant cases: Latest COVID-19 updates",www.usatoday.com
"Seniors are having trouble getting Covid-19 vaccines. These cousins set up 
a system to help",www.cnn.com
Multiple cases of COVID-19 variant identified in Calhoun County,wwmt.com
"After Parents And Grandparents Get The COVID-19 Vaccine, Is It Safe To Go 
Visit? : Shots - Health News",www.npr.org
"State remains at risk for COVID-19, despite downturn in cases",www.bostonglobe.com
"Super Bowl sparks concerns that it could be a COVID-19 super spreader - 
Business Insider",www.businessinsider.com
4th grade girl dies 3 days after positive COVID-19 test,www.today.com
Millinocket's library is leading the Katahdin region's response to COVID-19,bangordailynews.com
"Fauci says U.S. vaccinations to increase in spring as Biden administration 
nears doses goal",www.washingtonpost.com
"Fauci looking ahead to more vaccines in March, April",www.politico.com
February 7 coronavirus news,www.cnn.com
"COVID tongue, mouth ulcers may be other symptoms of the coronavirus, 
researcher says",news.yahoo.com
"Coronavirus symptoms: COVID symptoms are likely to come up in this order, 
finds a study",timesofindia.indiatimes.com
